  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2024 052    2.37    3.38    2.30    2.05    3.46    1.35
2024 053    2.35    3.32    2.31    2.04    3.52    1.86
2024 054    2.34    3.31    2.29    1.97    3.48    2.17
2024 055    2.25    3.18    2.17    1.93    3.38    2.33
2024 056    2.33    3.17    2.20    1.94    3.34    2.43
2024 057    2.38    3.22    2.22    2.02    3.41    2.59
2024 058    2.42    3.31    2.35    2.13    3.53    2.77
2024 059    2.39    3.31    2.39    2.21    3.56    2.93
2024 060    2.30    3.29    2.39    2.28    3.56    3.05
2024 061    2.24    3.41    2.42    2.36    3.60    3.18
2024 062    2.33    3.50    2.51    2.49    3.66    3.35
2024 063    2.41    3.51    2.57    2.71    3.65    3.64
2024 064    2.47    3.54    2.73    2.87    3.62    4.01
2024 065    2.50    3.63    2.77    2.99    3.78    4.32
2024 066    2.48    3.69    2.76    3.07    3.95    4.55
2024 067    2.47    3.66    2.77    3.12    4.07    4.74
2024 068    2.47    3.70    2.79    3.17    4.02    4.82
2024 069    2.48    3.64    2.74    3.23    3.98    4.81
2024 070    2.52    3.64    2.67    3.25    3.91    4.76
2024 071    2.56    3.65    2.61    3.26    3.87    4.69
2024 072    2.52    3.67    2.60    3.34    3.87    4.55
2024 073    2.48    3.73    2.71    3.51    3.95    4.48
2024 074    2.49    3.77    2.72    3.61    3.97    4.53
2024 075    2.51    3.80    2.72    3.79    4.04    4.78
2024 076    2.50    3.79    2.68    3.93    4.05    5.00
2024 077    2.46    3.74    2.65    3.91    4.02    5.04
2024 078    2.39    3.64    2.59    3.82    3.97    4.87
2024 079    2.30    3.53    2.52    3.72    3.90    4.52
2024 080    2.19    3.47    2.47    3.63    3.85    4.12
2024 081    2.07    3.42    2.39    3.53    3.79    3.82
2024 082    1.97    3.42    2.30    3.47    3.75    3.61
2024 083    1.98    3.46    2.33    3.46    3.76    3.42
2024 084    1.91    3.42    2.30    3.48    3.76    3.33
2024 085    1.97    3.53    2.34    3.56    3.79    3.46
2024 086    2.07    3.57    2.42    3.65    3.84    3.74
2024 087    2.15    3.54    2.51    3.78    3.91    4.09
2024 088    2.18    3.51    2.56    3.87    3.96    4.40
2024 089    2.19    3.50    2.56    3.93    3.96    4.68
2024 090    2.19    3.55    2.57    3.98    4.02    4.93
2024 091    2.22    3.60    2.66    4.09    4.10    5.29
2024 092    2.22    3.65    2.72    4.26    4.13    5.48
2024 093    2.29    3.74    2.76    4.37    4.09    5.61
2024 094    2.43    3.90    2.89    4.51    4.16    5.75
2024 095    2.56    3.99    3.02    4.63    4.33    5.88
2024 096    2.66    4.04    3.12    4.81    4.50    6.19
2024 097    2.72    4.10    3.27    4.97    4.65    6.48
2024 098    2.79    4.16    3.36    5.16    4.76    6.79
2024 099    2.76    4.23    3.42    5.27    4.65    7.00
2024 100    2.70    4.31    3.47    5.41    4.62    7.30
2024 101    2.70    4.38    3.53    5.56    4.67    7.69
2024 102    2.74    4.51    3.64    5.84    4.78    7.99
2024 103    2.81    4.68    3.81    6.14    4.94    8.20
2024 104    2.90    4.82    3.92    6.28    5.07    8.28
2024 105    2.96    4.99    4.06    6.43    5.16    8.54
2024 106    3.00    5.09    4.14    6.63    5.28    8.99
2024 107    2.98    5.10    4.21    6.78    5.39    9.28
2024 108    2.99    5.07    4.30    6.95    5.43    9.51
2024 109    2.97    5.05    4.34    7.13    5.39    9.83
2024 110    2.93    5.10    4.35    7.28    5.33   10.07
2024 111    2.91    5.08    4.26    7.39    5.27    9.91
2024 112    2.93    5.10    4.24    7.52    5.28    9.76
2024 113    2.95    5.14    4.32    7.64    5.35    9.63
2024 114    3.02    5.25    4.39    7.70    5.39    9.54
2024 115    3.10    5.37    4.48    7.67    5.45    9.52
2024 116    3.12    5.49    4.50    7.68    5.53    9.45
2024 117    3.11    5.56    4.46    7.72    5.63    9.32
2024 118    3.11    5.66    4.52    7.88    5.69    9.32
2024 119    3.09    5.72    4.63    8.27    5.74    9.36
2024 120    3.11    5.85    4.84    8.72    5.91    9.97
2024 121    3.11    6.03    5.05    9.19    6.21   10.57
2024 122    3.09    6.19    5.19    9.64    6.55   11.53
2024 123    3.18    6.39    5.33   10.05    6.72   12.39
2024 124    3.42    6.78    5.46   10.28    6.81   11.97
2024 125    3.48    7.07    5.63   10.56    7.05   11.43
2024 126    3.53    7.36    5.88   10.91    7.32   11.76
2024 127    3.56    7.66    6.04   11.19    7.57   12.16
2024 128    3.62    7.89    6.24   11.43    7.95   12.39
2024 129    3.68    8.05    6.50   11.65    8.51   12.72
2024 130    3.73    8.17    6.71   11.74    8.87   13.13
2024 131    3.78    8.28    6.98   11.82    9.06   13.11
2024 132    3.82    8.28    7.10   11.84    9.29   13.14
2024 133    3.87    8.37    7.11   11.86    9.65   13.22
2024 134    3.96    8.46    7.23   12.05    9.84   13.40
2024 135    4.02    8.59    7.38   12.46   10.06   13.85
2024 136    4.05    8.70    7.48   12.90   10.42   14.14
2024 137    4.01    8.84    7.58   13.29   11.04   14.32
2024 138    4.03    9.21    7.93   13.82   11.86   14.52
2024 139    4.10    9.73    8.50   14.64   12.62   14.94
2024 140    4.16   10.11    8.97   15.39   13.19   15.46
2024 141    4.14   10.36    9.30   16.15   13.80   16.10
2024 142    4.13   10.54    9.63   16.85   14.42   17.01
2024 143    4.23   10.59    9.85   17.21   14.93   17.69
2024 144    4.26   10.67    9.83   17.43   15.05   18.03
2024 145    4.21   10.83    9.83   17.75   15.01   18.19
2024 146    4.34   11.08   10.02   17.87   14.93   18.13
2024 147    4.40   11.21   10.22   17.84   14.81   18.19
2024 148    4.48   11.35   10.50   17.49   14.66   18.17
2024 149    4.65   11.47   10.77   17.02   14.47   18.03
2024 150    4.84   11.56   10.93   16.56   14.32   17.72
2024 151    4.89   11.74   11.16   16.36   14.24   17.57
2024 152    4.94   11.79   11.35   16.52   14.24   17.74
2024 153    5.01   11.95   11.40   16.67   14.25   17.84
2024 154    5.15   12.27   11.54   16.87   14.46   17.94
2024 155    5.26   12.71   11.83   17.17   14.98   18.10
2024 156    5.39   13.10   12.21   17.48   15.62   18.42
2024 157    5.45   13.45   12.64   17.89   16.28   18.75
2024 158    5.50   13.57   12.94   18.23   16.61   18.99
2024 159    5.55   13.64   12.90   18.17   16.44   18.83
2024 160    5.60   13.70   12.77   17.98   15.99   18.52
2024 161    5.76   13.69   12.71   17.84   15.64   18.27
2024 162    5.90   13.64   12.72   17.86   15.45   18.23
2024 163    5.91   13.70   12.88   18.04   15.49   18.30
2024 164    6.01   13.91   13.09   18.34   15.56   18.70
2024 165    6.21   14.34   13.35   18.67   15.74   19.18
2024 166    6.33   14.74   13.55   18.97   15.93   19.62
2024 167    6.33   14.95   13.74   19.16   16.10   19.74
2024 168    6.34   15.14   13.83   19.52   16.32   20.03
2024 169    6.45   15.56   14.07   20.26   16.66   20.36
2024 170    6.56   16.12   14.48   20.97   17.17   20.80
2024 171    6.72   16.60   15.09   21.98   18.12   21.42
2024 172    6.85   16.98   15.66   22.89   18.96   22.16
2024 173    7.19   17.24   16.00   23.18   19.12   22.28
2024 174    7.61   17.36   16.16   22.89   18.88   22.31
2024 175    7.92   17.46   16.29   22.41   18.60   22.46
2024 176    8.08   17.65   16.40   21.93   18.24   22.62
2024 177    8.41   17.73   16.45   21.64   18.03   22.38
2024 178    8.58   17.75   16.43   21.40   18.01   21.95
2024 179    8.73   17.75   16.38   21.27   18.04   21.74
2024 180    8.82   17.76   16.32   21.25   18.16   21.58
2024 181    8.89   17.79   16.22   21.22   18.26   21.38
2024 182    8.91   17.67   16.05   21.13   18.31   21.13
2024 183    9.16   17.65   16.03   21.07   18.35   20.96
2024 184    9.40   17.70   16.19   21.14   18.48   21.02
2024 185    9.71   17.81   16.40   21.30   18.88   21.26
2024 186    9.96   17.95   16.68   21.64   19.47   21.53
2024 187   10.57   18.21   17.20   22.08   20.30   21.82
2024 188   11.17   18.45   17.77   22.49   21.21   22.08
2024 189   12.21   18.86   18.45   22.82   21.85   22.50
2024 190   12.94   19.13   18.81   23.15   22.13   22.79
2024 191   13.53   19.40   19.06   23.35   22.30   22.94
2024 192   13.85   19.74   19.21   23.32   22.27   23.01
2024 193   14.23   20.06   19.35   23.30   22.29   23.10
2024 194   14.74   20.44   19.61   23.43   22.34   23.32
2024 195   15.40   20.82   19.95   23.74   22.57   23.67
2024 196   15.99   21.02   20.17   23.82   22.82   23.72
2024 197   16.33   21.16   20.38   23.70   22.81   23.78
2024 198   16.24   21.15   20.46   23.65   22.77   23.96
2024 199   15.89   21.04   20.32   23.67   22.66   23.97
2024 200   15.56   20.87   20.07   23.59   22.47   23.78
2024 201   15.62   20.85   20.00   23.59   22.36   23.67
2024 202   15.92   20.94   20.10   23.69   22.39   23.68
2024 203   16.21   21.10   20.29   23.76   22.55   23.74
2024 204   16.36   21.31   20.51   23.93   22.83   23.84
2024 205   16.39   21.35   20.60   24.15   23.11   23.89
2024 206   16.44   21.27   20.61   24.18   23.21   23.79
2024 207   16.64   21.25   20.62   24.19   23.12   23.74
2024 208   16.86   21.36   20.74   24.27   23.09   23.90
2024 209   17.18   21.55   20.97   24.44   23.23   24.15
2024 210   17.65   21.77   21.30   24.68   23.49   24.38
2024 211   18.20   22.09   21.68   24.85   23.73   24.53
2024 212   18.64   22.45   22.07   24.99   23.98   24.73
2024 213   18.99   22.79   22.42   25.16   24.18   25.02
2024 214   19.32   23.10   22.69   25.34   24.37   25.24
2024 215   19.58   23.41   23.00   25.48   24.48   25.31
2024 216   19.61   23.58   23.16   25.67   24.52   25.47
2024 217   19.52   23.55   23.06   25.80   24.58   25.52
2024 218   19.44   23.24   22.82   25.69   24.43   25.35
2024 219   19.47   22.76   22.56   25.46   24.16   24.93
2024 220   19.34   22.42   22.40   25.00   23.95   24.30
2024 221   19.11   22.17   22.31   24.56   23.77   23.94
2024 222   18.79   21.95   22.19   24.29   23.54   23.76
2024 223   18.52   21.75   22.01   24.12   23.31   23.58
2024 224   18.10   21.59   21.79   23.96   23.10   23.33
2024 225   17.86   21.52   21.45   23.86   22.80   23.12
2024 226   18.26   21.84   21.22   23.95   22.50   23.34
2024 227   18.49   22.07   21.11   24.02   22.35   23.49
2024 228   18.42   21.97   21.12   23.99   22.39   23.47
2024 229   18.30   21.78   21.06   23.87   22.49   23.40
2024 230   18.11   21.58   20.86   23.77   22.50   23.38
2024 231   17.96   21.39   20.56   23.63   22.44   23.27
2024 232   17.92   21.21   20.22   23.32   22.16   22.96
2024 233   17.97   21.06   19.90   22.94   21.83   22.49
2024 234   18.07   20.99   19.76   22.68   21.55   22.06
2024 235   18.23   21.06   19.80   22.65   21.37   21.88
2024 236   18.47   21.27   19.94   22.67   21.33   21.92
2024 237   18.79   21.58   20.19   22.85   21.49   22.20
2024 238   19.03   21.97   20.54   23.10   21.78   22.65
2024 239   19.10   22.36   20.83   23.45   22.10   23.22
2024 240   18.79   22.45   20.87   23.69   22.28   23.47
2024 241   18.36   22.24   20.59   23.66   22.19   23.38
2024 242   18.09   22.00   20.35   23.56   21.94   23.29
2024 243   17.98   21.91   20.33   23.53   21.81   23.31
2024 244   17.89   21.85   20.33   23.44   21.81   23.38
2024 245   17.66   21.68   20.13   23.27   21.73   23.27
2024 246   17.49   21.48   19.80   23.03   21.53   22.93
2024 247   17.44   21.29   19.53   22.82   21.36   22.53
2024 248   17.39   21.18   19.43   22.66   21.23   22.28
2024 249   17.29   21.13   19.40   22.54   21.16   22.12
2024 250   17.02   20.91   19.23   22.33   21.05   21.75
2024 251   16.70   20.53   18.87   21.99   20.88   21.08
2024 252   16.51   20.14   18.49   21.65   20.59   20.47
2024 253   16.49   19.92   18.24   21.47   20.27   20.31
2024 254   16.48   19.89   18.16   21.49   20.05   20.44
2024 255   16.60   19.99   18.32   21.53   20.01   20.70
2024 256   16.85   20.10   18.57   21.55   20.09   20.99
2024 257   17.11   20.20   18.82   21.57   20.31   21.25
2024 258   17.29   20.33   19.04   21.63   20.68   21.45
2024 259   17.56   20.53   19.27   21.75   21.03   21.63
2024 260   17.70   20.71   19.45   21.80   21.22   21.76
2024 261   17.86   20.89   19.65   21.84   21.33   21.88
2024 262   17.97   21.09   19.88   21.91   21.38   22.04
2024 263   18.01   21.20   20.05   22.03   21.46   22.22
2024 264   17.87   21.20   20.03   22.14   21.44   22.33
2024 265   17.71   21.22   19.97   22.24   21.36   22.34
2024 266   17.50   20.99   19.86   22.32   21.29   22.29
2024 267   17.27   20.69   19.68   22.25   21.20   22.08
2024 268   17.15   20.49   19.47   22.09   20.96   21.68
2024 269   17.20   20.35   19.27   21.92   20.59   21.37
2024 270   17.40   20.35   19.17   21.71   20.26   21.20
2024 271   17.60   20.24   19.15   21.40   19.90   20.73
2024 272   17.63   20.11   19.17   21.23   19.87   20.36
2024 273   17.53   19.98   19.15   21.08   19.88   20.06
2024 274   17.29   19.86   19.05   21.03   19.88   19.96
2024 275   16.87   19.66   18.86   20.98   19.80   19.87
2024 276   16.30   19.34   18.56   20.87   19.63   19.61
2024 277   15.76   19.04   18.24   20.69   19.44   19.34
2024 278   15.39   18.79   18.01   20.56   19.37   19.11
2024 279   15.08   18.59   17.83   20.46   19.29   18.94
2024 280   14.57   18.36   17.60   20.26   19.12   18.65
2024 281   13.91   18.10   17.30   20.02   18.90   18.28
2024 282   13.45   17.81   16.93   19.73   18.59   17.83
2024 283   13.18   17.56   16.55   19.44   18.26   17.39
2024 284   13.01   17.40   16.18   19.12   17.85   17.03
2024 285   12.93   17.24   15.88   18.85   17.45   16.77
2024 286   12.81   17.07   15.66   18.63   17.18   16.58
2024 287   12.65   16.81   15.42   18.41   16.90   16.27
2024 288   12.36   16.43   15.03   18.00   16.43   15.59
2024 289   12.09   16.03   14.58   17.54   15.94   14.87
2024 290   11.95   15.72   14.19   17.16   15.56   14.34
2024 291   11.97   15.56   14.05   16.98   15.37   14.14
2024 292   11.94   15.46   14.07   16.93   15.35   14.19
2024 293   11.85   15.33   14.07   16.94   15.37   14.33
2024 294   11.76   15.23   14.02   16.92   15.36   14.49
2024 295   11.79   15.17   14.00   16.86   15.33   14.67
2024 296   11.66   15.13   13.93   16.81   15.33   14.70
2024 297   11.37   14.94   13.76   16.68   15.20   14.57
2024 298   11.10   14.76   13.53   16.49   14.92   14.44
2024 299   10.98   14.60   13.32   16.25   14.64   14.17
2024 300   10.86   14.48   13.10   16.05   14.42   13.86
2024 301   10.74   14.34   12.90   15.84   14.17   13.66
2024 302   10.63   14.23   12.74   15.68   13.98   13.60
2024 303   10.54   14.14   12.65   15.60   13.76   13.66
2024 304   10.39   14.05   12.58   15.52   13.61   13.82
2024 305   10.18   13.88   12.51   15.47   13.49   13.95
2024 306    9.97   13.55   12.41   15.42   13.37   13.85
2024 307    9.83   13.31   12.20   15.30   13.13   13.68
2024 308    9.79   13.25   12.09   15.22   12.96   13.59
2024 309    9.68   13.13   12.02   15.24   12.92   13.70
2024 310    9.55   12.97   11.96   15.29   12.90   13.95
2024 311    9.48   12.86   11.91   15.25   12.84   14.15
2024 312    9.40   12.82   11.85   15.10   12.78   14.10
2024 313    9.31   12.77   11.75   14.92   12.60   13.86
2024 314    9.17   12.70   11.63   14.73   12.39   13.59
2024 315    9.03   12.53   11.52   14.54   12.24   13.20
2024 316    8.78   12.31   11.29   14.29   12.03   12.72
2024 317    8.59   12.17   11.07   14.05   11.81   12.33
2024 318    8.50   12.05   10.94   13.87   11.65   12.10
2024 319    8.43   11.99   10.89   13.83   11.52   12.08
2024 320    8.32   11.85   10.77   13.70   11.32   12.00
2024 321    8.22   11.66   10.64   13.38   11.16   11.63
2024 322    8.16   11.52   10.48   13.00   11.02   11.11
2024 323    8.09   11.41   10.39   12.79   10.98   10.83
2024 324    8.06   11.36   10.32   12.73   10.89   10.75
2024 325    8.00   11.25   10.21   12.68   10.80   10.66
2024 326    7.94   11.12   10.10   12.58   10.65   10.54
2024 327    7.84   10.94    9.99   12.44   10.44   10.34
2024 328    7.74   10.74    9.86   12.17   10.23    9.81
2024 329    7.69   10.53    9.73   11.77   10.07    9.27
2024 330    7.67   10.42    9.62   11.45    9.95    8.89
2024 331    7.61   10.33    9.52   11.21    9.86    8.67
2024 332    7.50   10.24    9.38   11.09    9.74    8.38
2024 333    7.46    9.95    9.23   10.91    9.60    7.84
2024 334    7.12    9.45    8.87   10.53    9.32    6.82
2024 335    7.01    9.14    8.50    9.83    8.92    5.68
2024 336    6.87    8.80    8.03    8.95    8.61    4.65
2024 337    6.79    8.47    7.79    8.47    8.39    4.28
2024 338    6.60    8.33    7.63    8.21    8.24    3.73
2024 339    5.74    8.04    7.39    7.78    8.05    4.16
2024 340    5.62    7.82    7.31    7.36    7.88    4.03
2024 341    5.48    7.68    6.99    7.04    7.66    3.56
2024 342    5.37    7.59    6.86    6.73    7.33    3.55
2024 343    5.27    7.53    6.74    6.51    7.05    3.40
2024 344    5.23    7.52    6.73    6.47    6.94    3.04
2024 345    5.02    7.34    6.67    6.32    6.83    3.65
2024 346    4.91    7.22    6.57    6.12    6.72    3.76
2024 347    4.86    7.04    6.39    5.85    6.53    3.66
2024 348    4.76    6.67    6.13    5.49    6.41    2.19
2024 349    4.72    6.62    6.12    5.45    6.42    2.16
2024 350    4.68    6.58    6.15    5.50    6.43    1.91
2024 351    4.71    6.51    6.17    5.40    6.37    0.39
2024 352    4.69    6.45    6.12    5.32    6.28    3.32
2024 353    4.67    6.45    6.07    5.28    6.20    3.69
2024 354    4.61    6.20    5.93    5.17    6.11    3.76
2024 355    4.56    5.94    5.78    4.98    6.01    3.87
2024 356    4.55    5.76    5.62    4.82    5.88    3.82
2024 357    4.52    5.50    5.27    4.67    5.75    0.20
2024 358    4.46    5.60    5.36    4.57    5.61    0.20
2024 359    4.56    5.65    5.26    4.52    5.53    0.20
2024 360    4.54    5.59    5.11    4.40    5.34    1.57
2024 361    4.51    5.54    5.09    4.30    5.19    3.02
2024 362    4.55    5.57    5.04    4.28    5.42    3.52
2024 363    4.50    5.57    4.98    4.30    5.44    3.84
2024 364    4.45    5.59    4.98    4.30    5.45    4.00
2024 365    4.37    5.57    4.83    4.31    5.40    4.21
2024 366    4.30    5.52    4.85    4.28    5.34    4.32
